contract_id,customer_name,account_id,industry,segment,country,sku,product,tier,seats,list_price_per_seat,discount_pct,effective_price_per_seat,annual_contract_value,monthly_value,cost_per_seat,gross_margin_pct,contract_start,contract_end,account_manager,contract_status,po_number,payment_terms,deal_context
CTR-2023-MH-001,Meridian Health,MERID-001,Healthcare-tech,Enterprise,Netherlands,MON-GROW-01,API Monitoring,Growth,25,7400,0,7400,185000,15416.67,2162,70.8,2023-11-01,2024-11-30,Elena Rodriguez,expired,PO-MH-2023-0847,Net 30,Engineering department. POC showed 34% deployment cycle improvement.
CTR-2023-MH-001,Meridian Health,MERID-001,Healthcare-tech,Enterprise,Netherlands,MON-MKT-01,API Monitoring,Marketing Ops,25,8100,0,8100,202500,16875.0,2644,67.4,2023-11-01,2024-11-30,Elena Rodriguez,expired,PO-MH-2023-0847,Net 30,Marketing department. Sarah Chen requested inclusion during POC.
CTR-2024-MH-002,Meridian Health,MERID-001,Healthcare-tech,Enterprise,Netherlands,MON-ENT-02,API Monitoring,Enterprise,25,11800,5.0,11210,280250,23354.17,3704,67.0,2024-12-01,2025-11-30,Elena Rodriguez,active,PO-MH-2024-1203,Net 30,Engineering upgraded from Growth to Enterprise. 5% loyalty discount.
CTR-2024-MH-002,Meridian Health,MERID-001,Healthcare-tech,Enterprise,Netherlands,MON-MKT-01,API Monitoring,Marketing Ops,12,8100,5.0,7695,92340,7695.0,2199,71.4,2024-12-01,2025-11-30,Elena Rodriguez,active,PO-MH-2024-1203,Net 30,Seats reduced from 25 to 12 at renewal. 5% loyalty discount.
CTR-2024-NX-001,Nexus Fintech,NEXUS-001,Fintech,Mid-market,Netherlands,MON-GROW-02,API Monitoring,Growth,15,7800,0,7800,117000,9750.0,2507,67.9,2024-05-01,2025-04-30,Elena Rodriguez,active,PO-NX-2024-0331,Net 30,Payment processing monitoring. 280% ROI measured. Expansion expected.
CTR-2024-OC-001,Orbita Commerce,ORBIT-001,E-commerce,Mid-market,Germany,MON-GROW-01,API Monitoring,Growth,12,7400,12.0,6512,78144,6512.0,2256,65.4,2024-03-01,2025-02-28,Elena Rodriguez,at_risk,PO-OC-2024-0189,Net 30,Competitive displacement from [Competitor Y]. 12% discount to win the deal. 2-year commitment originally but converted to 1-year after negotiation.
CTR-2023-AL-001,Atlas Logistics EU,ATLAS-001,Logistics,Enterprise,Netherlands,MON-ENT-01,API Monitoring,Enterprise,30,11200,3.0,10864,325920,27160.0,3599,66.9,2023-06-01,2025-05-31,Marcus Webb,active,PO-AL-EU-2023-0445,Net 45,European operations. Fleet management monitoring. 2-year contract.
CTR-2024-AL-002,Atlas Logistics US,ATLAS-002,Logistics,Enterprise,United States,BDL-ENT-01,Platform Bundle,Enterprise Suite,20,16500,0,16500,330000,27500.0,5139,68.9,2024-01-01,2025-12-31,Marcus Webb,active,PO-AL-US-2024-0012,Net 30,US operations. Bundle deal (monitoring + profiler). Discovered same parent company as EU contract in Q2 2024.
CTR-2022-PL-001,Pinnacle Labs,PINNA-001,Biotech,Enterprise,United Kingdom,MON-ENT-01,API Monitoring,Enterprise,30,11200,8.0,10304,309120,25760.0,3036,70.5,2022-09-01,2025-08-31,Elena Rodriguez,active,PO-PL-2022-0778,Net 30,3-year deal. Largest single contract. 8% volume discount for 3-year commitment. New CEO (build-vs-buy philosophy) is a risk.
CTR-2022-PL-001,Pinnacle Labs,PINNA-001,Biotech,Enterprise,United Kingdom,PROF-ADV-01,Performance Profiler,Advanced,20,8800,8.0,8096,161920,13493.33,2513,69.0,2023-03-01,2025-08-31,Elena Rodriguez,active,PO-PL-2023-0122,Net 30,Cross-sold 6 months after initial contract. Same 8% volume discount applied.
