week_start,account_id,account_name,department,team_lead,product,tier,licensed_seats,active_users,daily_avg_logins,total_sessions,avg_session_duration_min,features_used,total_features_available,feature_adoption_pct,api_calls_monitored,alerts_configured,alerts_triggered,incidents_detected,p1_incidents,deployments_monitored,avg_deployment_cycle_hours,mttr_hours,custom_dashboards,data_exports,buyer_error_rate_pct,seat_utilization_pct,notes
2023-11-06,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,8,13.9,80,19.3,12,45,26.7,39423,7,0,0,0,6,92.5,4.3,1,0,0,32.0,
2023-11-06,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,2,1.1,7,7.5,2,45,4.4,586,0,0,0,0,0,,,0,0,,8.0,campaign_api_monitoring
2023-11-13,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,9,21.2,71,19.3,13,45,28.9,53226,9,2,2,0,6,101.6,4.4,1,1,0,36.0,
2023-11-13,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,1,0.9,4,9.7,2,45,4.4,353,0,0,0,0,0,,,0,0,,4.0,campaign_api_monitoring
2023-11-20,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,11,26.6,97,18.6,12,45,26.7,49143,9,1,1,0,5,99.8,4.5,1,0,0,44.0,
2023-11-20,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,1,1.3,2,10.6,2,45,4.4,493,0,0,0,0,0,,,0,0,,4.0,campaign_api_monitoring
2023-11-27,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,12,25.0,149,19.3,13,45,28.9,44246,10,2,0,0,7,104.4,4.5,1,0,0,48.0,
2023-11-27,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,0,0,0,0,0,45,0,0,0,0,0,0,0,,,0,0,,0.0,no_login_activity
2023-12-04,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,13,28.0,138,17.8,13,45,28.9,51453,10,1,3,0,5,91.4,3.9,1,0,0,52.0,
2023-12-04,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,4,3.2,21,4.8,3,45,6.7,1120,1,0,0,0,0,,,0,0,,16.0,campaign_api_monitoring
2023-12-11,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,15,31.0,173,19.8,15,45,33.3,46014,11,2,0,0,6,92.1,3.8,1,2,0,60.0,
2023-12-11,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,7,8.9,38,6.3,3,45,6.7,2539,1,0,0,0,0,,,0,0,,28.0,campaign_api_monitoring
2023-12-18,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,17,36.4,189,19.2,15,45,33.3,57781,11,2,2,0,5,97.9,4.3,1,0,0,68.0,
2023-12-18,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,6,5.5,20,11.2,3,45,6.7,3383,1,0,0,0,0,,,0,0,,24.0,campaign_api_monitoring
2023-12-25,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,10,15.1,77,16.9,16,45,35.6,33855,13,2,4,0,7,86.3,4.4,2,1,0,40.0,
2023-12-25,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,3,2.3,12,,3,45,6.7,945,1,0,0,0,0,,,0,0,,12.0,session_duration_not_recorded
2024-01-01,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,10,11.8,126,18.2,14,45,31.1,27214,13,4,2,0,6,103.0,4.4,2,0,0,40.0,
2024-01-01,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,5,3.8,14,14.8,4,45,8.9,1623,1,0,0,0,0,,,3,0,,20.0,campaign_api_monitoring
2024-01-08,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,20,40.3,241,21.3,16,45,35.6,54771,14,1,0,0,8,90.9,4.2,2,2,0,80.0,
2024-01-08,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,9,9.5,20,9.8,4,45,8.9,4352,1,0,0,0,0,,,2,0,,36.0,campaign_api_monitoring
2024-01-15,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,19,36.3,179,21.6,17,45,37.8,56061,14,2,0,0,8,98.1,4.5,2,0,0,76.0,
2024-01-15,MERID-001,Meridian Health,Marketing,Lisa Huang,API Monitoring,growth,25,6,4.6,23,7.3,4,45,8.9,4970,1,0,0,0,0,,,3,0,,24.0,campaign_api_monitoring
2024-01-22,MERID-001,Meridian Health,Engineering,David Wu (under Sarah Chen),API Monitoring,growth,25,19,32.8,227,15.8,17,45,37.8,63476,14,3,0,0,8,99.5,3.5,2,0,0,76.0,
